train_loss,val_loss,train_acc,val_acc,val_f1
0.3301520118759952,0.22586163088673217,0.8627911344853494,0.9095704596834966,0.8852311525204739
0.3020541596175315,0.2011773546682334,0.8725582268970699,0.9306706857573473,0.918509607372673
0.30353891401699307,0.17336657520698004,0.869740796393689,0.9427279577995479,0.9218328504300606
0.3040339292148107,0.20603554426525655,0.8744365138993239,0.9351921627731725,0.9238957193273905
0.2857900688985879,0.17288784608308938,0.8814800901577761,0.9404672192916352,0.9233448338332133
0.27839430029189827,0.17012328294748832,0.8877723516153269,0.948756593820648,0.9347294571971055
0.2678335073140221,0.15978374953199945,0.8906836964688204,0.9412207987942728,0.9256479966082235
0.2736681202058502,0.16577145343570918,0.8882419233658904,0.9480030143180106,0.9216907931478661
0.24405240463995556,0.17419309529805552,0.8946280991735537,0.9427279577995479,0.9306636683140708
0.2490422670707767,0.14816317966782794,0.9001690458302029,0.9570459683496609,0.9396004915063878
0.23688505539582422,0.18966552096313719,0.8993238166791886,0.9382064807837227,0.9215071630553042
0.23906586721125264,0.16772077398613638,0.9017655897821187,0.9427279577995479,0.9237492084614989
0.2363112666703632,0.145891165874457,0.9051465063861758,0.9532780708364732,0.9303247084900711
0.23373789442136358,0.13979050633109338,0.9037377911344854,0.9525244913338358,0.9406469028305308
0.21665176077501655,0.15482911161626406,0.9072126220886552,0.9510173323285607,0.939299608612159
0.22258722715522006,0.14048901234463532,0.9086213373403456,0.9495101733232856,0.9395288407002731
0.21889415599971138,0.1411409458480972,0.9148196844477836,0.945742275810098,0.9329692299747372
0.2109630719319848,0.15127002839392056,0.9136927122464312,0.9525244913338358,0.9390235949314946
0.17523027023343912,0.1465531743398754,0.9233658903080391,0.9532780708364732,0.9348032548056482
0.17830804144861465,0.15306985530099868,0.9259954921111946,0.9570459683496609,0.9435890260639972
0.17413696255688824,0.14967118521581238,0.9256198347107438,0.9510173323285607,0.9396858634323824
0.16108485051814905,0.1350650370072028,0.9318181818181818,0.9593067068575735,0.9447131133294986
0.15347519333899065,0.11710301231078456,0.9322877535687453,0.9540316503391107,0.9431274622729466
0.158188236120229,0.14220957021176683,0.9318181818181818,0.9623210248681235,0.9540254860952354
0.15819312667069715,0.12767102456315937,0.9343538692712247,0.960060286360211,0.9538233505592052
0.15285381740120055,0.11859715416129443,0.935480841472577,0.9638281838733986,0.9565731176078633
0.1578732503061676,0.1251361235311042,0.93454169797145,0.9653353428786737,0.952616321963544
0.151596442038497,0.13091842830551226,0.9348234410217882,0.9668425018839487,0.9509560744307011
0.14162207319268957,0.14019501110573582,0.9367017280240421,0.9570459683496609,0.9501663833069713
0.14837239401948174,0.12198730296166567,0.9339782118707739,0.9638281838733986,0.9477713493714699
